Origin_Country;Destination_Country;sea distance (km);onshore distance (km);offshore distance (km);Starting point
Qatar;United States;18765,3;;;
Romania;United States;12354,2;;;
Russian Federation;United States;8226,87;;;
Russian Federation;United States;8226,87;;;
Russian Federation;United States;8226,87;;;
Russian Federation;United States;8226,87;;;
Russian Federation;United States;8226,87;;;
Russian Federation;United States;8226,87;;;
Saudi Arabia;United States;20000;;;
Sweden;United States;8165,51;;;
Singapore;United States;13845,6;;;
Slovenia;United States;11912,5;;;
Slovakia;United States;11908,8;;;
Syria;United States;12658,3;;;
Thailand;United States;14109,7;;;
Turkmenistan;United States;18439,6;;;
Tunisia;United States;10022,3;;;
Turkey;United States;11825,4;;;
Trinidad and Tobago;United States;3695,92;;;
Taiwan;United States;11098,5;;;
Ukraine;United States;12555,6;;;
United Kingdom;United States;7770,6;;;
United States;United States;0;;;
United States;United States;0;;;
United States;United States;0;;;
United States;United States;0;;;
Uzbekistan;United States;18185,9;;;
Venezuela;United States;3118,44;;;
Yemen;United States;15701,2;;;
Croatia;United States;11832,9;;;
Mozambique;United States;15490,5;;;
Vietnam;United States;12907,4;;;
Philippines;United States;11471,8;;;
Iceland;United States;6381,13;;;
Papua New Guinea;United States;10274,3;;;
Cameroon;United States;10903,9;;;
South Africa;United States;15013,3;;;
United Arab Emirates;Korea;10958,7;;;
Angola;Korea;17850;;;
Argentina;Korea;19351,8;;;
Austria;Korea;16047,8;;;
Australia;Korea;10153,9;;;
Azerbaijan;Korea;1579,54;;;
Estonia;Korea;22858;;;
Bangladesh;Korea;8077,66;;;
Belgium;Korea;20557,7;;;
Bulgaria;Korea;15692,7;;;
Bahrain;Korea;11430;;;
Brunei darussalam;Korea;3828,74;;;
Bolivia;Korea;17656,2;;;
Brazil;Korea;22052,8;;;
Belarus;Korea;22391,1;;;
Canada;Korea;9153,71;;;
Switzerland;Korea;16167,4;;;
Chile;Korea;17656,8;;;
China;Korea;661,595;;;
Colombia;Korea;16112,9;;;
Czech Republic;Korea;21070,7;;;
Germany;Korea;21072,1;;;
Denmark;Korea;21794,2;;;
Dominican Republic;Korea;17427,9;;;
Algeria;Korea;17086,1;;;
Egypt;Korea;14067,9;;;
Spain;Korea;17510,6;;;
Finland;Korea;22925,3;;;
France;Korea;16168,4;;;
Ghana;Korea;20907,9;;;
Georgia;Korea;16663,2;;;
Equatorial Guinea;Korea;20146,6;;;
Greece;Korea;14987;;;
Hungary;Korea;16047,8;;;
Indonesia;Korea;5489,41;;;
Ireland;Korea;20146,8;;;
India;Korea;9348,99;;;
Iraq;Korea;11809,1;;;
Iran;Korea;11016,7;;;
Italy;Korea;15846,3;;;
Japan;Korea;954,701;;;
Republic of Korea;Korea;0;;;
Kuwait;Korea;11782,5;;;
Kazakhstan;Korea;1579,54;;;
Israel;Korea;14214,5;;;
Libya;Korea;15891,7;;;
Morocco;Korea;17590,1;;;
Moldova;Korea;15942,7;;;
Myanmar;Korea;6106,76;;;
Mexico;Korea;12583,5;;;
Malaysia;Korea;5099,85;;;
Nigeria;Korea;20868,2;;;
Netherlands;Korea;20488,2;;;
Norway;Korea;21647,5;;;
Oman;Korea;10540,9;;;
Peru;Korea;15993,8;;;
Pakistan;Korea;10258,5;;;
Poland;Korea;22131;;;
Portugal;Korea;18052,3;;;
Qatar;Korea;11360,5;;;
Romania;Korea;15944,3;;;
Russian Federation;Korea;1579,54;;;
Russian Federation;Korea;1579,54;;;
Russian Federation;Korea;1579,54;;;
Russian Federation;Korea;1579,54;;;
Russian Federation;Korea;1579,54;;;
Russian Federation;Korea;1579,54;;;
Saudi Arabia;Korea;12602;;;
Sweden;Korea;21610,4;;;
Singapore;Korea;4726,54;;;
Slovenia;Korea;16049,9;;;
Slovakia;Korea;16047,8;;;
Syria;Korea;14587,4;;;
Thailand;Korea;4633,35;;;
Turkmenistan;Korea;11015;;;
Tunisia;Korea;15933,3;;;
Turkey;Korea;15538;;;
Trinidad and Tobago;Korea;17673,2;;;
Taiwan;Korea;1615,23;;;
Ukraine;Korea;16192,8;;;
United Kingdom;Korea;20084,7;;;
United States;Korea;9755,14;;;
United States;Korea;9755,14;;;
United States;Korea;9755,14;;;
United States;Korea;9755,14;;;
Uzbekistan;Korea;10258;;;
Venezuela;Korea;17087,3;;;
Yemen;Korea;11207,8;;;
Croatia;Korea;15976,7;;;
Mozambique;Korea;13445,3;;;
Vietnam;Korea;3427,22;;;
Philippines;Korea;2247,79;;;
Iceland;Korea;21041,7;;;
Papua New Guinea;Korea;6486,78;;;
Cameroon;Korea;20389,1;;;
South Africa;Korea;13596,6;;;
United Arab Emirates;China;10371,3;;;
Angola;China;17180;;;
Argentina;China;19488;;;
Austria;China;15305,9;;;
Australia;China;10025,6;;;
Azerbaijan;China;2252,47;;;
Estonia;China;22270,9;;;
Bangladesh;China;7490,4;;;
Belgium;China;19970,5;;;
Bulgaria;China;14997,9;;;
Bahrain;China;10838,2;;;
Brunei darussalam;China;3249,27;;;
Bolivia;China;18238;;;
Brazil;China;21465,6;;;
Belarus;China;21805;;;
Canada;China;10031,5;;;
Switzerland;China;15425,6;;;
Chile;China;18238;;;
China;China;0;;;
Colombia;China;16752,6;;;
Czech Republic;China;20484,5;;;
Germany;China;20484,9;;;
Denmark;China;21207,1;;;
Dominican Republic;China;18067,1;;;
Algeria;China;16415,9;;;
Egypt;China;13390,4;;;
Spain;China;16840,5;;;
Finland;China;22338,1;;;
France;China;15425,3;;;
Ghana;China;20236,6;;;
Georgia;China;16056;;;
Equatorial Guinea;China;19475,3;;;
Greece;China;14243,9;;;
Hungary;China;15305,9;;;
Indonesia;China;4902,23;;;
Ireland;China;19559,7;;;
India;China;8761,85;;;
Iraq;China;11079,9;;;
Iran;China;10421,2;;;
Italy;China;15103,2;;;
Japan;China;1458,02;;;
Republic of Korea;China;659,339;200;1000;
Kuwait;China;11048,6;;;
Kazakhstan;China;2252,47;1300;0;
Israel;China;13584,2;;;
Libya;China;15220,8;;;
Morocco;China;16920,1;;;
Moldova;China;15295,6;;;
Myanmar;China;5519,56;2806;0;
Mexico;China;13223,6;;;
Malaysia;China;4512,67;;;
Nigeria;China;20196,9;;;
Netherlands;China;19901;;;
Norway;China;21060,3;;;
Oman;China;9953,77;;;
Peru;China;16633,7;;;
Pakistan;China;9671,41;;;
Poland;China;21543,9;;;
Portugal;China;17382,1;;;
Qatar;China;10773,3;;;
Romania;China;15297,5;;;
Russian Federation;China;2251,54;;;
Russian Federation;China;2251,54;;;
Russian Federation;China;2251,54;3000;0;
Russian Federation;China;2251,54;;;
Russian Federation;China;2251,54;;;
Russian Federation;China;2251,54;5000;0;
Saudi Arabia;China;12014,9;;;
Sweden;China;21023,2;;;
Singapore;China;4139,35;;;
Slovenia;China;15306,8;;;
Slovakia;China;15305,9;;;
Syria;China;14000,3;;;
Thailand;China;4046,15;;;
Turkmenistan;China;10419,2;;;
Tunisia;China;15190,1;;;
Turkey;China;14850,8;;;
Trinidad and Tobago;China;18312,4;;;
Taiwan;China;1052,53;;;
Ukraine;China;15605,7;;;
United Kingdom;China;19497,6;;;
United States;China;10401,4;;;
United States;China;10401,4;;;
United States;China;10401,4;;;
United States;China;10401,4;;;
Uzbekistan;China;9671,52;2000;0;
Venezuela;China;17726,5;;;
Yemen;China;10620,7;;;
Croatia;China;15233,5;;;
Mozambique;China;12702,2;;;
Vietnam;China;2840,02;;;
Philippines;China;1782,35;;;
Iceland;China;20454,6;;;
Papua New Guinea;China;6298,52;;;
Cameroon;China;19717,7;;;
South Africa;China;12853,5;;;
